PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40080018,"Area Socioeconomic Status, Vaccination Access, and Female Human Papillomavirus Vaccination.",2025,,,N/A
40080017,Health Care Contact Days for Older Adults Enrolled in Cancer Clinical Trials.,2025,,,N/A
40080000,Persistent Prostate-Specific Antigen Following Radical Prostatectomy for Prostate Cancer and Mortality Risk.,2025,,,N/A
40079965,Genetic and Demographic Determinants of Fuchs Endothelial Corneal Dystrophy Risk and Severity.,2025,,,N/A
40079948,Adjuvant Chemoradiotherapy vs Radiotherapy Alone for Patients With Intermediate-Risk Cervical Cancer.,2025,,,N/A
40079946,Pretreatment Liquid Biopsy and Clinicopathologic Features in HPV-Associated Oropharyngeal Squamous Cell Carcinoma.,2025,,,N/A
40079944,Atezolizumab in High-Risk Locally Advanced Squamous Cell Carcinoma of the Head and Neck: A Randomized Clinical Trial.,2025,"Lau, Jiang, Yan, Ballinger, Kaul, Matheny, Cuchelkar","Genentech, Inc, South San Francisco, California., Genentech, Inc, South San Francisco, California., Genentech, Inc, South San Francisco, California., Genentech, Inc, South San Francisco, California., Genentech, Inc, South San Francisco, California., Genentech, Inc, South San Francisco, California., Genentech, Inc, South San Francisco, California.",N/A
40079943,Sotorasib's Accelerated Approval: Wrong Dose and Indication.,2025,,,N/A
40079941,"Prognostic significance of Ki-67 in assessing the risk of progression, relapse or metastasis in pheochromocytomas and paragangliomas.",2025,,,N/A
40079940,Adjuvant PD-1 Blockade With Camrelizumab for Nasopharyngeal Carcinoma: The DIPPER Randomized Clinical Trial.,2025,,,N/A
